26097|DANC|010|01|The Fieldw ork of Music &amp; Dance|1|HU|20|Chakravorty, Pallabi  & Milew ski, Barbara|Course|M|1:15pm - 4:00pm|LANGMU 204|$|Cross-listed w ith MUSI 010.|
25410|DANC|011|01|Dance Lab I: Making Dance|1|HU|12|Arrow , Kim|Studio Course|MW|4:30pm - 6:00pm|LANGPA 3|$||
20239|DANC|013|01|Dance Composition Tutorial|0.5||5|STAFF|Studio Course||||$|See Dept Admin Asst to register.|
26103|DANC|022|01|Europe/America:19th/20th (W)|1|HU, W|12|Sabee, Olivia|Course|TR|8:30am - 9:45am|LANGMU 204|$|Cross-listed w ith MUSI 026.|
20162|DANC|040|01|Dance Technique: Modern I|0.5||8|Malcolm-Naib, Rebecca|Studio Course|MW|4:30pm - 6:00pm|LANGPA 2|$||
21410|DANC|040P|01|PE Dance Technique: Modern I|0||12|Malcolm-Naib, Rebecca|Phys Educ|MW|4:30pm - 6:00pm|LANGPA 2|$|2 PE units.|
20151|DANC|041|01|Dance Technique: Ballet I|0.5||8|Sabee, Olivia|Studio Course|TR|11:20am - 12:50pm|LANGPA 3|$||
21411|DANC|041P|01|PE Dance Technique: Ballet I|0||12|Sabee, Olivia|Phys Educ|TR|11:20am - 12:50pm|LANGPA 3|$|2 PE units.|
20158|DANC|043|01|Dance Technique: African I|0.5||8|Pettaw ay, Saleana|Studio Course|MW|6:00pm - 7:30pm|LANGPA 2|$|Class meets in the evening. Eligible for BLST program.|
21412|DANC|043P|01|PE Dance Technique: African I|0||12|Pettaw ay, Saleana|Phys Educ|MW|6:00pm - 7:30pm|LANGPA 2|$|2 PE units. Class meets in the evening.|
20157|DANC|044|01|Dance Technique: Tap|0.5||8|Davis, LaDeva|Performance|MW|6:00pm - 7:30pm|LANGPA 3|$|Class meets in the evening.|
21413|DANC|044P|01|PE Dance Technique: Tap|0||12|Davis, LaDeva|Phys Educ|MW|6:00pm - 7:30pm|LANGPA 3|$|2 PE units. Class meets in the evening.|
